card_id,account_id,card_number,card_type,network,issue_date,expiry_date,credit_limit,card_status,card_holder_name,cvv,pin_generation_status,contactless_enabled,international_usage_enabled,created_at,updated_at,source_system
CD00008078,ACC00007713,0140754985202141,Debit,RuPay,2025-07-25,2030-07-24,0.0,Active,DALAJA MANI,566,Generated,No,No,2026-08-03 12:22:46.319544,,Enterprise System
CD00008079,ACC00007713,8933773646005595,Debit,Mastercard,2020-04-05,2025-04-04,0.0,Closed,DALAJA MANI,537,Generated,Yes,No,2026-08-03 12:22:46.320488,,Enterprise System
CD00008080,ACC00007715,5586022293166335,Credit,RuPay,2022-04-13,2027-04-12,100000.0,Active,MADHAVI MUKHOPADHYAY,709,Generated,Yes,No,2026-08-03 12:22:46.320488,,Enterprise System
CD00008081,ACC00007715,9690729811389596,Debit,Mastercard,2016-05-28,2021-05-27,0.0,Active,MADHAVI MUKHOPADHYAY,315,Generated,No,No,2026-08-03 12:22:46.320488,,Enterprise System
CD00008082,ACC00007716,5587909969848710,Debit,Visa,2024-08-29,2029-08-28,0.0,Blocked,INDRAJIT RAVAL,206,Generated,Yes,No,2026-08-03 12:22:46.321488,,Enterprise System
CD00008083,ACC00007717,9066264069320490,Debit,Visa,2026-02-13,2031-02-12,0.0,Active,YAUVANI KEER,892,Generated,Yes,No,2026-08-03 12:22:46.321488,,Enterprise System
CD00008084,ACC00007717,3569032475755199,Credit,American Express,2026-02-05,2031-02-04,500000.0,Active,YAUVANI KEER,992,Pending,Yes,Yes,2026-08-03 12:22:46.321488,,Enterprise System
CD00008085,ACC00007718,7392062785259025,Debit,Mastercard,2023-08-14,2028-08-12,0.0,Active,DARIKA PATEL,324,Generated,No,No,2026-08-03 12:22:46.321488,,Enterprise System
CD00008086,ACC00007718,8038137323519758,Credit,Visa,2025-07-27,2030-07-26,50000.0,Active,DARIKA PATEL,389,Pending,Yes,No,2026-08-03 12:22:46.322482,,Enterprise System
CD00008087,ACC00007719,5656727372856320,Debit,RuPay,2018-04-10,2023-04-09,0.0,Active,ISAIAH VARGHESE,590,Generated,Yes,No,2026-08-03 12:22:46.322482,,Enterprise System
CD00008088,ACC00007720,3842996876643145,Credit,Mastercard,2026-07-19,2031-07-18,200000.0,Active,AARAV NATARAJAN,655,Generated,Yes,No,2026-08-03 12:22:46.322482,,Enterprise System
CD00008089,ACC00007721,7083225649501951,Prepaid,Visa,2026-05-16,2031-05-15,10000.0,Active,GUNEET GOLLA,724,Generated,Yes,No,2026-08-03 12:22:46.322482,,Enterprise System
CD00008090,ACC00007722,9183066280089602,Debit,RuPay,2018-01-01,2022-12-31,0.0,Blocked,ZAYAN SHENOY,136,Generated,Yes,No,2026-08-03 12:22:46.323487,,Enterprise System
CD00008091,ACC00007723,3665695277216798,Credit,RuPay,2021-09-29,2026-09-28,1000000.0,Active,BHAVINI DUTT,225,Generated,Yes,No,2026-08-03 12:22:46.323487,,Enterprise System
CD00008092,ACC00007724,8793985062095259,Credit,Visa,2009-07-23,2014-07-22,1000000.0,Active,TIMOTHY KALITA,300,Generated,Yes,No,2026-08-03 12:22:46.323487,,Enterprise System
CD00008093,ACC00007724,5467782894323128,Credit,Visa,2025-01-23,2030-01-22,200000.0,Active,TIMOTHY KALITA,358,Pending,Yes,Yes,2026-08-03 12:22:46.323487,,Enterprise System
CD00008094,ACC00007725,3701878215712403,Debit,Mastercard,2020-02-06,2025-02-04,0.0,Lost,FALGUNI PALLA,120,Generated,Yes,No,2026-08-03 12:22:46.324489,,Enterprise System
CD00008095,ACC00007726,0785686061041124,Debit,Visa,2025-02-14,2030-02-13,0.0,Active,KAVYA BAL,559,Generated,Yes,No,2026-08-03 12:22:46.324489,,Enterprise System
CD00008096,ACC00007727,2139750281328982,Credit,RuPay,2024-02-20,2029-02-18,1000000.0,Active,NIDHI KAUR,795,Generated,Yes,Yes,2026-08-03 12:22:46.324489,,Enterprise System
CD00008097,ACC00007727,5834792491097739,Debit,RuPay,2020-02-07,2025-02-05,0.0,Active,NIDHI KAUR,910,Generated,Yes,Yes,2026-08-03 12:22:46.325495,,Enterprise System
CD00008098,ACC00007728,7714439301174222,Debit,Mastercard,2023-04-27,2028-04-25,0.0,Active,EKANI SUBRAMANIAN,350,Generated,Yes,No,2026-08-03 12:22:46.325495,,Enterprise System
CD00008099,ACC00007730,4970693274281144,Charge,Visa,2016-12-10,2021-12-09,100000.0,Active,MAANAS CHAUDHURI,536,Generated,Yes,No,2026-08-03 12:22:46.325495,,Enterprise System
CD00008100,ACC00007731,1885733060553464,Debit,Visa,2025-08-27,2030-08-26,0.0,Blocked,KABIR KHANNA,710,Generated,Yes,No,2026-08-03 12:22:46.325495,,Enterprise System
CD00008101,ACC00007731,4842499774936018,Debit,Visa,2026-04-16,2031-04-15,0.0,Expired,KABIR KHANNA,642,Generated,No,No,2026-08-03 12:22:46.326490,,Enterprise System
CD00008102,ACC00007732,0574306733595514,Credit,Visa,2025-11-08,2030-11-07,200000.0,Active,HEMAL PANDIT,814,Generated,Yes,No,2026-08-03 12:22:46.326490,,Enterprise System
CD00008103,ACC00007732,5230943051787534,Credit,Mastercard,2025-05-29,2030-05-28,1000000.0,Active,HEMAL PANDIT,295,Generated,Yes,No,2026-08-03 12:22:46.326490,,Enterprise System
CD00008104,ACC00007733,2600600727916577,Credit,Visa,2025-03-12,2030-03-11,500000.0,Active,UPKAAR BANERJEE,433,Generated,Yes,No,2026-08-03 12:22:46.326490,,Enterprise System
CD00008105,ACC00007734,4635242172986751,Debit,Visa,2015-02-17,2020-02-16,0.0,Active,KEYA MANNAN,244,Generated,Yes,No,2026-08-03 12:22:46.327484,,Enterprise System
CD00008106,ACC00007735,6882563416875411,Debit,Mastercard,2021-01-31,2026-01-30,0.0,Active,BINA SOLANKI,319,Generated,No,No,2026-08-03 12:22:46.327484,,Enterprise System
CD00008107,ACC00007736,3526374507746037,Debit,Visa,2022-03-07,2027-03-06,0.0,Active,SARTHAK BAINS,240,Generated,Yes,No,2026-08-03 12:22:46.327484,,Enterprise System
CD00008108,ACC00007736,5707658934054604,Prepaid,Mastercard,2021-06-07,2026-06-06,50000.0,Stolen,SARTHAK BAINS,358,Generated,Yes,No,2026-08-03 12:22:46.327484,,Enterprise System
CD00008109,ACC00007737,8134690754835109,Debit,RuPay,2013-08-16,2018-08-15,0.0,Active,CHAKRIKA LALA,243,Generated,Yes,No,2026-08-03 12:22:46.328482,,Enterprise System
CD00008110,ACC00007738,7270117289699034,Debit,RuPay,2022-10-11,2027-10-10,0.0,Active,ZAID ZACHARIAH,142,Generated,No,Yes,2026-08-03 12:22:46.328482,,Enterprise System
CD00008111,ACC00007739,8237733945051373,Prepaid,RuPay,2024-07-19,2029-07-18,25000.0,Closed,WRIDESH BANSAL,786,Generated,Yes,No,2026-08-03 12:22:46.328482,,Enterprise System
CD00008112,ACC00007739,0561777833959969,Debit,RuPay,2024-08-20,2029-08-19,0.0,Active,WRIDESH BANSAL,339,Generated,Yes,Yes,2026-08-03 12:22:46.329403,,Enterprise System
CD00008113,ACC00007740,1960545339408318,Debit,Mastercard,2013-05-20,2018-05-19,0.0,Active,NIDRA LALLA,742,Generated,Yes,Yes,2026-08-03 12:22:46.329403,,Enterprise System
CD00008114,ACC00007741,4917590177505746,Debit,Mastercard,2024-08-24,2029-08-23,0.0,Active,NITARA SIBAL,674,Generated,Yes,No,2026-08-03 12:22:46.329403,,Enterprise System
CD00008115,ACC00007742,3247661785771755,Debit,Visa,2024-04-08,2029-04-07,0.0,Active,BENJAMIN THAKUR,720,Generated,Yes,No,2026-08-03 12:22:46.330521,,Enterprise System
CD00008116,ACC00007743,7938519894327952,Debit,RuPay,2019-06-15,2024-06-13,0.0,Active,SATHVIK PALAN,823,Generated,No,No,2026-08-03 12:22:46.330521,,Enterprise System
CD00008117,ACC00007745,0349305537483615,Credit,Mastercard,2024-08-08,2029-08-07,50000.0,Active,AARINI DHILLON,916,Pending,Yes,Yes,2026-08-03 12:22:46.330521,,Enterprise System
CD00008118,ACC00007746,0277887837980642,Debit,RuPay,2019-10-13,2024-10-11,0.0,Active,WARHI GARG,130,Generated,Yes,No,2026-08-03 12:22:46.331521,,Enterprise System
CD00008119,ACC00007746,9432844409954119,Prepaid,Visa,2023-03-18,2028-03-16,10000.0,Active,WARHI GARG,213,Generated,No,No,2026-08-03 12:22:46.331521,,Enterprise System
CD00008120,ACC00007747,3653946136581497,Credit,Mastercard,2011-05-06,2016-05-04,500000.0,Active,NANDINI THAKER,801,Generated,No,No,2026-08-03 12:22:46.331521,,Enterprise System
CD00008121,ACC00007748,2557827112398129,Credit,Visa,2009-04-25,2014-04-24,100000.0,Active,ADYA BALASUBRAMANIAN,386,Generated,Yes,No,2026-08-03 12:22:46.331521,,Enterprise System
CD00008122,ACC00007749,2956150588738732,Debit,Visa,2026-07-02,2031-07-01,0.0,Active,ZARNA RAY,838,Generated,No,No,2026-08-03 12:22:46.332516,,Enterprise System
CD00008123,ACC00007750,3609952452862781,Credit,Visa,2026-01-01,2030-12-31,200000.0,Active,LUCKY GANESAN,473,Generated,Yes,Yes,2026-08-03 12:22:46.332516,,Enterprise System
CD00008124,ACC00007751,8112101985613810,Debit,RuPay,2011-09-09,2016-09-07,0.0,Lost,TEJAS SAINI,975,Generated,Yes,No,2026-08-03 12:22:46.332516,,Enterprise System
CD00008125,ACC00007752,0978894093697668,Debit,RuPay,2026-07-11,2031-07-10,0.0,Active,JANUJA TELLA,824,Generated,Yes,Yes,2026-08-03 12:22:46.332516,,Enterprise System
CD00008126,ACC00007753,9488314394724114,Debit,Mastercard,2025-11-24,2030-11-23,0.0,Active,ORINDER KURUVILLA,846,Generated,Yes,No,2026-08-03 12:22:46.333526,,Enterprise System
CD00008127,ACC00007755,6652376994136212,Debit,RuPay,2025-09-11,2030-09-10,0.0,Active,YASHODA KASHYAP,106,Generated,Yes,No,2026-08-03 12:22:46.333526,,Enterprise System
CD00008128,ACC00007756,8496042303631446,Debit,RuPay,2026-04-07,2031-04-06,0.0,Active,GANGA SOMAN,131,Generated,Yes,No,2026-08-03 12:22:46.334515,,Enterprise System
CD00008129,ACC00007757,2551260961348790,Credit,RuPay,2025-04-04,2030-04-03,500000.0,Active,BANJEET PRASAD,817,Generated,Yes,No,2026-08-03 12:22:46.334515,,Enterprise System
CD00008130,ACC00007758,0819593531299887,Debit,American Express,2025-10-29,2030-10-28,0.0,Active,ANDREW RASTOGI,134,Generated,Yes,Yes,2026-08-03 12:22:46.334515,,Enterprise System
CD00008131,ACC00007759,4673988523827020,Debit,RuPay,2026-02-16,2031-02-15,0.0,Active,ALKA BORA,948,Generated,Yes,No,2026-08-03 12:22:46.334515,,Enterprise System
CD00008132,ACC00007761,1777050259467875,Debit,Visa,2021-03-18,2026-03-17,0.0,Active,BAHADURJIT KRISHNAMURTHY,606,Generated,No,Yes,2026-08-03 12:22:46.335540,,Enterprise System
CD00008133,ACC00007761,2452253894398507,Credit,Mastercard,2020-12-30,2025-12-29,100000.0,Active,BAHADURJIT KRISHNAMURTHY,409,Generated,Yes,No,2026-08-03 12:22:46.335540,,Enterprise System
CD00008134,ACC00007762,9214123757420367,Debit,RuPay,2023-03-26,2028-03-24,0.0,Active,RONITH THAKKAR,835,Generated,Yes,No,2026-08-03 12:22:46.335540,,Enterprise System
CD00008135,ACC00007762,5210017290039815,Debit,RuPay,2015-01-18,2020-01-17,0.0,Active,RONITH THAKKAR,679,Generated,Yes,No,2026-08-03 12:22:46.335540,,Enterprise System
CD00008136,ACC00007764,4142446735281067,Credit,Visa,2025-08-04,2030-08-03,1000000.0,Closed,ADVAITH DATTA,642,Generated,Yes,No,2026-08-03 12:22:46.336527,,Enterprise System
CD00008137,ACC00007765,8378980854378331,Credit,Mastercard,2025-12-18,2030-12-17,100000.0,Active,RADHA DASS,976,Generated,Yes,No,2026-08-03 12:22:46.336527,,Enterprise System
CD00008138,ACC00007765,7077572097834148,Debit,RuPay,2025-07-30,2030-07-29,0.0,Active,RADHA DASS,706,Generated,Yes,No,2026-08-03 12:22:46.336527,,Enterprise System
CD00008139,ACC00007766,6389970876765840,Debit,Visa,2025-11-10,2030-11-09,0.0,Active,THOMAS WABLE,276,Generated,Yes,No,2026-08-03 12:22:46.337520,,Enterprise System
CD00008140,ACC00007767,7571210098435335,Credit,Visa,2012-07-24,2017-07-23,1000000.0,Blocked,FITAN DANI,890,Generated,Yes,Yes,2026-08-03 12:22:46.337520,,Enterprise System
CD00008141,ACC00007768,2721897391779701,Debit,Visa,2026-05-07,2031-05-06,0.0,Active,ANSH SANKARAN,818,Generated,Yes,Yes,2026-08-03 12:22:46.337520,,Enterprise System
CD00008142,ACC00007770,0696467339651312,Debit,Mastercard,2023-01-15,2028-01-14,0.0,Active,DHRITI SAHOTA,393,Generated,Yes,No,2026-08-03 12:22:46.337520,,Enterprise System
CD00008143,ACC00007770,1706928771503938,Debit,Visa,2019-03-24,2024-03-22,0.0,Active,DHRITI SAHOTA,253,Generated,Yes,No,2026-08-03 12:22:46.338525,,Enterprise System
