transaction_id,account_id,merchant_id,card_id,transaction_timestamp,transaction_type,transaction_channel,transaction_status,amount,currency,reference_number,narration,location_city,location_state,is_international,created_at,updated_at,source_system
TR00450053,ACC00007734,,CD00008105,2018-11-01 10:21:42,Credit,IMPS,Success,357257.14,INR,TXNUTR202608030932001576,Funds Credited,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.360884,,Enterprise System
TR00450054,ACC00007739,MER00001120,CD00008112,2025-10-23 00:15:15,POS Purchase,POS,Success,11329.16,INR,TXNUTR202608034217438820,POS Purchase at Shree Gole Fashion,PATHANKOT,PUNJAB,No,2026-08-03 12:22:46.360884,,Enterprise System
TR00450055,ACC00007749,MER00001126,CD00008122,2026-07-12 03:10:38,Online Payment,UPI,Success,24538.31,INR,TXNUTR202608036512383275,Online Payment to Modern Acharya Cafe,Y.S.R.,ANDHRA PRADESH,No,2026-08-03 12:22:46.360884,,Enterprise System
TR00450056,ACC00007726,,CD00008095,2025-05-25 03:22:32,Debit,Mobile Banking,Success,53787.3,INR,TXNUTR202608030612194075,Funds Debited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.360884,,Enterprise System
TR00450057,ACC00007745,,CD00008117,2025-12-03 16:49:21,Credit,Branch,Success,29556.21,INR,TXNUTR202608033074449233,Funds Credited,NAMAKKAL,TAMIL NADU,No,2026-08-03 12:22:46.361864,,Enterprise System
TR00450058,ACC00007727,,CD00008096,2016-09-04 16:56:18,Credit,RTGS,Success,1136776.37,INR,TXNUTR202608036921197257,Funds Credited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.361864,,Enterprise System
TR00450059,ACC00007762,,CD00008134,2024-08-10 04:40:56,Withdrawal,ATM,Success,16150.61,INR,TXNUTR202608033800198034,Cash Withdrawal,UDALGURI,ASSAM,No,2026-08-03 12:22:46.361864,,Enterprise System
TR00450060,ACC00007711,MER00001110,,2021-07-01 02:20:15,Online Payment,Online Banking,Success,99737.31,INR,TXNUTR202608038357123913,Online Payment to Prime Devan Fuel Station,INDORE,MADHYA PRADESH,No,2026-08-03 12:22:46.362875,,Enterprise System
TR00450061,ACC00007731,MER00001145,,2026-02-15 03:12:25,POS Purchase,POS,Success,53895.24,INR,TXNUTR202608031632547777,POS Purchase at Prime Bawa Energy,BARPETA,ASSAM,No,2026-08-03 12:22:46.362875,,Enterprise System
TR00450062,ACC00007731,,,2026-07-11 03:26:23,Debit,UPI,Success,6857.73,INR,TXNUTR202608032760768137,Funds Debited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.362875,,Enterprise System
TR00450063,ACC00007729,,,2018-03-02 16:37:56,Debit,ATM,Success,8048.89,INR,TXNUTR202608034805127551,Funds Debited,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.362875,,Enterprise System
TR00450064,ACC00007707,,CD00008073,2025-01-13 13:44:03,Debit,Online Banking,Success,65030.79,INR,TXNUTR202608035411698844,Funds Debited,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.362875,,Enterprise System
TR00450065,ACC00007743,,CD00008116,2024-07-02 22:19:53,Debit,Mobile Banking,Success,94472.44,INR,TXNUTR202608038171691214,Funds Debited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.363869,,Enterprise System
TR00450066,ACC00007743,,CD00008116,2019-12-27 22:09:46,Debit,POS,Success,58595.91,INR,TXNUTR202608036512412946,Funds Debited,GANJAM,ODISHA,No,2026-08-03 12:22:46.363869,,Enterprise System
TR00450067,ACC00007714,,,2026-03-01 21:22:30,Credit,NEFT,Success,431985.33,INR,TXNUTR202608030868435209,Funds Credited,SALEM,TAMIL NADU,No,2026-08-03 12:22:46.363869,,Enterprise System
TR00450068,ACC00007750,,CD00008123,2023-06-19 11:12:24,Transfer,IMPS,Success,331705.53,INR,TXNUTR202608038849419141,IMPS Transfer,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.363869,,Enterprise System
TR00450069,ACC00007757,,CD00008129,2025-10-30 08:42:06,Debit,UPI,Success,2295.28,INR,TXNUTR202608039770541479,Funds Debited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.363869,,Enterprise System
TR00450070,ACC00007747,,CD00008120,2016-08-16 03:40:23,Debit,Mobile Banking,Success,46689.3,INR,TXNUTR202608037784019721,Funds Debited,JUNAGADH,GUJARAT,No,2026-08-03 12:22:46.364872,,Enterprise System
TR00450071,ACC00007766,,CD00008139,2024-08-08 22:49:24,Credit,IMPS,Success,420646.27,INR,TXNUTR202608031929197008,Funds Credited,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.364872,,Enterprise System
TR00450072,ACC00007760,,,2024-02-22 21:08:06,Debit,POS,Success,62214.02,INR,TXNUTR202608039124506398,Funds Debited,SALEM,TAMIL NADU,No,2026-08-03 12:22:46.364872,,Enterprise System
TR00450073,ACC00007722,,,2014-06-23 05:28:23,Credit,NEFT,Success,429432.61,INR,TXNUTR202608035470204405,Funds Credited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.364872,,Enterprise System
TR00450074,ACC00007747,,CD00008120,2007-02-04 16:44:32,Debit,Mobile Banking,Success,86987.66,INR,TXNUTR202608031255287926,Funds Debited,SALEM,TAMIL NADU,No,2026-08-03 12:22:46.365866,,Enterprise System
TR00450075,ACC00007733,,CD00008104,2021-11-28 09:16:18,Credit,RTGS,Success,1285192.43,INR,TXNUTR202608033471108002,Funds Credited,PURBA BARDHAMAN,WEST BENGAL,No,2026-08-03 12:22:46.365866,,Enterprise System
TR00450076,ACC00007719,,CD00008087,2025-06-04 20:01:16,Credit,IMPS,Success,317300.41,INR,TXNUTR202608036401594389,Funds Credited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.365866,,Enterprise System
TR00450077,ACC00007720,,CD00008088,2026-06-06 23:04:56,Credit,NEFT,Success,473168.02,INR,TXNUTR202608035990252624,Funds Credited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.365866,,Enterprise System
TR00450078,ACC00007758,,CD00008130,2020-08-01 03:02:54,Debit,Mobile Banking,Success,46865.73,INR,TXNUTR202608035353547455,Funds Debited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.365866,,Enterprise System
TR00450079,ACC00007714,MER00001146,,2026-03-22 00:16:08,POS Purchase,POS,Success,12504.66,INR,TXNUTR202608033805971513,POS Purchase at Shree Mani Enterprise,AURANGABAD,MAHARASHTRA,No,2026-08-03 12:22:46.366866,,Enterprise System
TR00450080,ACC00007729,,,2011-11-05 10:37:53,Deposit,ATM,Success,19599.28,INR,TXNUTR202608039096858472,Cash Deposit,SHAJAPUR,MADHYA PRADESH,No,2026-08-03 12:22:46.366866,,Enterprise System
TR00450081,ACC00007769,,,2021-02-04 12:44:22,Credit,RTGS,Success,1145895.23,INR,TXNUTR202608031767246153,Funds Credited,SALEM,TAMIL NADU,No,2026-08-03 12:22:46.366866,,Enterprise System
TR00450082,ACC00007718,,CD00008086,2022-01-31 04:11:46,Withdrawal,ATM,Success,2211.1,INR,TXNUTR202608034452159728,Cash Withdrawal,UDALGURI,ASSAM,No,2026-08-03 12:22:46.366866,,Enterprise System
TR00450083,ACC00007744,,,2026-05-30 12:55:16,Transfer,IMPS,Success,319916.18,INR,TXNUTR202608031112901426,IMPS Transfer,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.367873,,Enterprise System
TR00450084,ACC00007757,,CD00008129,2026-05-08 02:07:05,Transfer,Online Banking,Success,38964.84,INR,TXNUTR202608035781042344,Online Banking Transfer,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.367873,,Enterprise System
TR00450085,ACC00007727,,CD00008097,2019-12-24 15:46:41,Debit,Mobile Banking,Success,91627.72,INR,TXNUTR202608038320666361,Funds Debited,TIRUNELVELI,TAMIL NADU,Yes,2026-08-03 12:22:46.367873,,Enterprise System
TR00450086,ACC00007710,MER00001103,CD00008076,2024-02-10 14:59:16,Online Payment,Mobile Banking,Success,36803.13,INR,TXNUTR202608036808373698,Online Payment to Om Salvi Fresh,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.367873,,Enterprise System
TR00450087,ACC00007704,,CD00008069,2025-04-15 00:23:21,Transfer,RTGS,Success,1593976.07,INR,TXNUTR202608035308092800,RTGS Transfer,PURNIA,BIHAR,No,2026-08-03 12:22:46.367873,,Enterprise System
TR00450088,ACC00007712,,CD00008077,2023-12-23 16:37:43,Credit,Branch,Success,76715.98,INR,TXNUTR202608039633935023,Funds Credited,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.367873,,Enterprise System
TR00450089,ACC00007706,,CD00008072,2025-07-16 05:13:26,Credit,UPI,Success,23733.34,INR,TXNUTR202608032257257021,Funds Credited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.367873,,Enterprise System
TR00450090,ACC00007751,,,2017-06-01 02:27:15,Credit,RTGS,Success,659209.99,INR,TXNUTR202608031606154539,Funds Credited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.367873,,Enterprise System
TR00450091,ACC00007731,,,2026-06-20 10:37:21,Withdrawal,ATM,Success,15459.49,INR,TXNUTR202608034363548876,Cash Withdrawal,UDALGURI,ASSAM,No,2026-08-03 12:22:46.367873,,Enterprise System
TR00450092,ACC00007765,,CD00008137,2025-12-12 07:25:05,Credit,Branch,Success,15729.52,INR,TXNUTR202608030227340103,Funds Credited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.369467,,Enterprise System
TR00450093,ACC00007710,,CD00008076,2022-12-29 16:48:37,Credit,IMPS,Success,128924.61,INR,TXNUTR202608030115039676,Funds Credited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.369467,,Enterprise System
TR00450094,ACC00007720,,CD00008088,2026-06-28 04:50:50,Transfer,IMPS,Success,99454.2,INR,TXNUTR202608039485933004,IMPS Transfer,UDALGURI,ASSAM,No,2026-08-03 12:22:46.369467,,Enterprise System
TR00450095,ACC00007770,MER00001129,CD00008143,2024-05-12 08:18:41,POS Purchase,POS,Success,72352.35,INR,TXNUTR202608033734453220,POS Purchase at Sai Parsa Water Supply,NADIA,WEST BENGAL,No,2026-08-03 12:22:46.369467,,Enterprise System
TR00450096,ACC00007757,,CD00008129,2023-11-08 02:45:51,Debit,Online Banking,Success,17637.2,INR,TXNUTR202608037509883812,Funds Debited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.369467,,Enterprise System
TR00450097,ACC00007744,,,2025-11-14 00:26:43,Debit,Mobile Banking,Success,8730.05,INR,TXNUTR202608030226383036,Funds Debited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.369467,,Enterprise System
TR00450098,ACC00007706,,CD00008071,2025-04-20 13:08:31,Debit,UPI,Success,23872.87,INR,TXNUTR202608035394826803,Funds Debited,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.369467,,Enterprise System
TR00450099,ACC00007719,,CD00008087,2022-12-15 09:38:19,Withdrawal,Branch,Success,59131.47,INR,TXNUTR202608034309628195,Cash Withdrawal,KUSHI NAGAR,UTTAR PRADESH,No,2026-08-03 12:22:46.370475,,Enterprise System
TR00450100,ACC00007765,MER00001117,CD00008137,2026-07-14 08:23:15,POS Purchase,POS,Success,64281.7,INR,TXNUTR202608037093228555,POS Purchase at Om Rajan Water Supply,NABARANGPUR,ODISHA,No,2026-08-03 12:22:46.370475,,Enterprise System
TR00450101,ACC00007742,,CD00008115,2016-04-16 14:18:03,Credit,Branch,Success,20608.5,INR,TXNUTR202608039656712718,Funds Credited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.370475,,Enterprise System
TR00450102,ACC00007720,,CD00008088,2026-06-28 14:01:34,Credit,IMPS,Success,123052.27,INR,TXNUTR202608031054319225,Funds Credited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.370475,,Enterprise System
TR00450103,ACC00007765,,CD00008137,2025-10-12 21:11:58,Debit,Online Banking,Success,17988.53,INR,TXNUTR202608038822600348,Funds Debited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.370475,,Enterprise System
TR00450104,ACC00007722,,,2011-06-03 12:48:57,Transfer,RTGS,Success,290894.96,INR,TXNUTR202608030337553734,RTGS Transfer,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.370475,,Enterprise System
TR00450105,ACC00007766,,CD00008139,2024-08-15 09:42:52,Withdrawal,Branch,Success,1602.49,INR,TXNUTR202608033633297309,Cash Withdrawal,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.370475,,Enterprise System
TR00450106,ACC00007740,,CD00008113,2024-09-08 04:47:22,Transfer,Online Banking,Failed,91618.06,INR,TXNUTR202608036734537118,Online Banking Transfer,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.370475,,Enterprise System
TR00450107,ACC00007770,MER00001126,CD00008143,2025-04-02 13:39:29,POS Purchase,POS,Success,73962.62,INR,TXNUTR202608038611233305,POS Purchase at Modern Acharya Cafe,Y.S.R.,ANDHRA PRADESH,No,2026-08-03 12:22:46.371563,,Enterprise System
TR00450108,ACC00007717,,CD00008083,2026-04-07 14:09:08,Credit,UPI,Success,8870.6,INR,TXNUTR202608038938832503,Funds Credited,SALEM,TAMIL NADU,No,2026-08-03 12:22:46.371563,,Enterprise System
TR00450109,ACC00007748,,CD00008121,2023-05-02 21:17:09,Debit,Online Banking,Success,52633.42,INR,TXNUTR202608035005669269,Funds Debited,VIKARABAD,TELANGANA,No,2026-08-03 12:22:46.371563,,Enterprise System
TR00450110,ACC00007743,,CD00008116,2017-04-30 15:44:54,Credit,NEFT,Success,288831.64,INR,TXNUTR202608037102658544,Funds Credited,KANNUR,KERALA,No,2026-08-03 12:22:46.371563,,Enterprise System
TR00450111,ACC00007711,,,2017-01-15 01:22:44,Debit,Online Banking,Success,99604.3,INR,TXNUTR202608039224787669,Funds Debited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.372566,,Enterprise System
TR00450112,ACC00007739,,CD00008112,2025-05-05 08:58:51,Debit,POS,Success,20281.24,INR,TXNUTR202608039398777798,Funds Debited,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.372566,,Enterprise System
TR00450113,ACC00007765,MER00001149,CD00008137,2025-06-20 16:21:22,Online Payment,Mobile Banking,Success,57204.97,INR,TXNUTR202608037763078380,Online Payment to Sai Subramanian Gas Services,UNNAO,UTTAR PRADESH,No,2026-08-03 12:22:46.372566,,Enterprise System
TR00450114,ACC00007739,,CD00008112,2025-03-19 08:28:43,Withdrawal,Branch,Success,41106.52,INR,TXNUTR202608035661108981,Cash Withdrawal,TIRUNELVELI,TAMIL NADU,No,2026-08-03 12:22:46.372566,,Enterprise System
TR00450115,ACC00007718,,CD00008085,2019-02-27 04:02:38,Transfer,IMPS,Success,411434.51,INR,TXNUTR202608031795025747,IMPS Transfer,UDALGURI,ASSAM,No,2026-08-03 12:22:46.372566,,Enterprise System
TR00450116,ACC00007704,,CD00008068,2026-05-23 16:30:30,Debit,ATM,Reversed,7308.8,INR,TXNUTR202608030170093721,Funds Debited,UDALGURI,ASSAM,No,2026-08-03 12:22:46.372566,,Enterprise System
