USER_TYPE,USER_ID,MOCK_PASSWORD,STATUS,DESIGNATION (IF REQUIRED)
CUSTOMER,CUST00000174,Cust@174x,ACTIVE, 
CUSTOMER,CUST00000175,Cust@175x,ACTIVE, 
CUSTOMER,CUST00000176,Cust@176x,ACTIVE, 
CUSTOMER,CUST00000177,Cust@177x,ACTIVE, 
CUSTOMER,CUST00000178,Cust@178x,ACTIVE, 
CUSTOMER,CUST00000179,Cust@179x,ACTIVE, 
CUSTOMER,CUST00000180,Cust@180x,ACTIVE, 
CUSTOMER,CUST00000181,Cust@181x,ACTIVE, 
CUSTOMER,CUST00000182,Cust@182x,ACTIVE, 
CUSTOMER,CUST00000183,Cust@183x,ACTIVE, 
CUSTOMER,CUST00000184,Cust@184x,ACTIVE, 
CUSTOMER,CUST00000185,Cust@185x,ACTIVE, 
CUSTOMER,CUST00000186,Cust@186x,ACTIVE, 
CUSTOMER,CUST00000187,Cust@187x,ACTIVE, 
CUSTOMER,CUST00000188,Cust@188x,ACTIVE, 
CUSTOMER,CUST00000189,Cust@189x,ACTIVE, 
CUSTOMER,CUST00000190,Cust@190x,ACTIVE, 
CUSTOMER,CUST00000191,Cust@191x,ACTIVE, 
CUSTOMER,CUST00000192,Cust@192x,ACTIVE, 
CUSTOMER,CUST00000193,Cust@193x,ACTIVE, 
CUSTOMER,CUST00000194,Cust@194x,ACTIVE, 
CUSTOMER,CUST00000195,Cust@195x,ACTIVE, 
CUSTOMER,CUST00000196,Cust@196x,ACTIVE, 
CUSTOMER,CUST00000197,Cust@197x,DORMANT, 
CUSTOMER,CUST00000198,Cust@198x,ACTIVE, 
CUSTOMER,CUST00000199,Cust@199x,BLOCKED, 
CUSTOMER,CUST00000200,Cust@200x,ACTIVE, 
CUSTOMER,CUST00000201,Cust@201x,ACTIVE, 
CUSTOMER,CUST00000202,Cust@202x,ACTIVE, 
CUSTOMER,CUST00000203,Cust@203x,ACTIVE, 
CUSTOMER,CUST00000204,Cust@204x,ACTIVE, 
CUSTOMER,CUST00000205,Cust@205x,ACTIVE, 
CUSTOMER,CUST00000206,Cust@206x,ACTIVE, 
CUSTOMER,CUST00000207,Cust@207x,ACTIVE, 
CUSTOMER,CUST00000208,Cust@208x,ACTIVE, 
CUSTOMER,CUST00000209,Cust@209x,ACTIVE, 
CUSTOMER,CUST00000210,Cust@210x,ACTIVE, 
CUSTOMER,CUST00000211,Cust@211x,ACTIVE, 
CUSTOMER,CUST00000212,Cust@212x,ACTIVE, 
CUSTOMER,CUST00000213,Cust@213x,ACTIVE, 
CUSTOMER,CUST00000214,Cust@214x,ACTIVE, 
CUSTOMER,CUST00000215,Cust@215x,ACTIVE, 
CUSTOMER,CUST00000216,Cust@216x,ACTIVE, 
CUSTOMER,CUST00000217,Cust@217x,ACTIVE, 
CUSTOMER,CUST00000218,Cust@218x,CLOSED, 
CUSTOMER,CUST00000219,Cust@219x,ACTIVE, 
CUSTOMER,CUST00000220,Cust@220x,ACTIVE, 
CUSTOMER,CUST00000221,Cust@221x,ACTIVE, 
CUSTOMER,CUST00000222,Cust@222x,ACTIVE, 
CUSTOMER,CUST00000223,Cust@223x,DORMANT, 
CUSTOMER,CUST00000224,Cust@224x,ACTIVE, 
CUSTOMER,CUST00000225,Cust@225x,ACTIVE, 
CUSTOMER,CUST00000226,Cust@226x,ACTIVE, 
CUSTOMER,CUST00000227,Cust@227x,ACTIVE, 
CUSTOMER,CUST00000228,Cust@228x,ACTIVE, 
CUSTOMER,CUST00000229,Cust@229x,BLOCKED, 
CUSTOMER,CUST00000230,Cust@230x,ACTIVE, 
CUSTOMER,CUST00000231,Cust@231x,ACTIVE, 
CUSTOMER,CUST00000232,Cust@232x,ACTIVE, 
CUSTOMER,CUST00000233,Cust@233x,ACTIVE, 
CUSTOMER,CUST00000234,Cust@234x,ACTIVE, 
CUSTOMER,CUST00000235,Cust@235x,ACTIVE, 
CUSTOMER,CUST00000236,Cust@236x,ACTIVE, 
CUSTOMER,CUST00000237,Cust@237x,ACTIVE, 
CUSTOMER,CUST00000238,Cust@238x,ACTIVE, 
CUSTOMER,CUST00000239,Cust@239x,ACTIVE, 
CUSTOMER,CUST00000240,Cust@240x,ACTIVE, 
CUSTOMER,CUST00000241,Cust@241x,ACTIVE, 
CUSTOMER,CUST00000242,Cust@242x,CLOSED, 
CUSTOMER,CUST00000243,Cust@243x,DORMANT, 
CUSTOMER,CUST00000244,Cust@244x,DORMANT, 
CUSTOMER,CUST00000245,Cust@245x,ACTIVE, 
CUSTOMER,CUST00000246,Cust@246x,ACTIVE, 
CUSTOMER,CUST00000247,Cust@247x,ACTIVE, 
CUSTOMER,CUST00000248,Cust@248x,ACTIVE, 
CUSTOMER,CUST00000249,Cust@249x,CLOSED, 
CUSTOMER,CUST00000250,Cust@250x,ACTIVE, 
CUSTOMER,CUST00000251,Cust@251x,ACTIVE, 
CUSTOMER,CUST00000252,Cust@252x,ACTIVE, 
CUSTOMER,CUST00000253,Cust@253x,ACTIVE, 
CUSTOMER,CUST00000254,Cust@254x,ACTIVE, 
CUSTOMER,CUST00000255,Cust@255x,ACTIVE, 
CUSTOMER,CUST00000256,Cust@256x,ACTIVE, 
CUSTOMER,CUST00000257,Cust@257x,ACTIVE, 
CUSTOMER,CUST00000258,Cust@258x,ACTIVE, 
CUSTOMER,CUST00000259,Cust@259x,ACTIVE, 
CUSTOMER,CUST00000260,Cust@260x,ACTIVE, 
CUSTOMER,CUST00000261,Cust@261x,ACTIVE, 
CUSTOMER,CUST00000262,Cust@262x,ACTIVE, 
CUSTOMER,CUST00000263,Cust@263x,DORMANT, 
CUSTOMER,CUST00000264,Cust@264x,ACTIVE, 
CUSTOMER,CUST00000265,Cust@265x,ACTIVE, 
CUSTOMER,CUST00000266,Cust@266x,ACTIVE, 
CUSTOMER,CUST00000267,Cust@267x,ACTIVE, 
CUSTOMER,CUST00000268,Cust@268x,ACTIVE, 
CUSTOMER,CUST00000269,Cust@269x,ACTIVE, 
CUSTOMER,CUST00000270,Cust@270x,ACTIVE, 
CUSTOMER,CUST00000271,Cust@271x,ACTIVE, 
CUSTOMER,CUST00000272,Cust@272x,ACTIVE, 
CUSTOMER,CUST00000273,Cust@273x,ACTIVE, 
CUSTOMER,CUST00000274,Cust@274x,ACTIVE, 
CUSTOMER,CUST00000275,Cust@275x,ACTIVE, 
CUSTOMER,CUST00000276,Cust@276x,ACTIVE, 
CUSTOMER,CUST00000277,Cust@277x,ACTIVE, 
CUSTOMER,CUST00000278,Cust@278x,ACTIVE, 
CUSTOMER,CUST00000279,Cust@279x,ACTIVE, 
CUSTOMER,CUST00000280,Cust@280x,ACTIVE, 
CUSTOMER,CUST00000281,Cust@281x,ACTIVE, 
CUSTOMER,CUST00000282,Cust@282x,ACTIVE, 
CUSTOMER,CUST00000283,Cust@283x,ACTIVE, 
CUSTOMER,CUST00000284,Cust@284x,ACTIVE, 
CUSTOMER,CUST00000285,Cust@285x,ACTIVE, 
CUSTOMER,CUST00000286,Cust@286x,ACTIVE, 
CUSTOMER,CUST00000287,Cust@287x,ACTIVE, 
CUSTOMER,CUST00000288,Cust@288x,ACTIVE, 
CUSTOMER,CUST00000289,Cust@289x,BLOCKED, 
CUSTOMER,CUST00000290,Cust@290x,ACTIVE, 
CUSTOMER,CUST00000291,Cust@291x,ACTIVE, 
CUSTOMER,CUST00000292,Cust@292x,ACTIVE, 
CUSTOMER,CUST00000293,Cust@293x,ACTIVE, 
CUSTOMER,CUST00000294,Cust@294x,ACTIVE, 
CUSTOMER,CUST00000295,Cust@295x,ACTIVE, 
CUSTOMER,CUST00000296,Cust@296x,ACTIVE, 
CUSTOMER,CUST00000297,Cust@297x,ACTIVE, 
CUSTOMER,CUST00000298,Cust@298x,ACTIVE, 
CUSTOMER,CUST00000299,Cust@299x,ACTIVE, 
CUSTOMER,CUST00000300,Cust@300x,CLOSED, 
CUSTOMER,CUST00000301,Cust@301x,ACTIVE, 
CUSTOMER,CUST00000302,Cust@302x,DORMANT, 
CUSTOMER,CUST00000303,Cust@303x,ACTIVE, 
CUSTOMER,CUST00000304,Cust@304x,ACTIVE, 
CUSTOMER,CUST00000305,Cust@305x,ACTIVE, 
CUSTOMER,CUST00000306,Cust@306x,ACTIVE, 
CUSTOMER,CUST00000307,Cust@307x,ACTIVE, 
CUSTOMER,CUST00000308,Cust@308x,ACTIVE, 
CUSTOMER,CUST00000309,Cust@309x,BLOCKED, 
CUSTOMER,CUST00000310,Cust@310x,ACTIVE, 
CUSTOMER,CUST00000311,Cust@311x,ACTIVE, 
CUSTOMER,CUST00000312,Cust@312x,DORMANT, 
CUSTOMER,CUST00000313,Cust@313x,ACTIVE, 
CUSTOMER,CUST00000314,Cust@314x,ACTIVE, 
CUSTOMER,CUST00000315,Cust@315x,ACTIVE, 
CUSTOMER,CUST00000316,Cust@316x,ACTIVE, 
CUSTOMER,CUST00000317,Cust@317x,ACTIVE, 
CUSTOMER,CUST00000318,Cust@318x,ACTIVE, 
CUSTOMER,CUST00000319,Cust@319x,ACTIVE, 
CUSTOMER,CUST00000320,Cust@320x,ACTIVE, 
CUSTOMER,CUST00000321,Cust@321x,ACTIVE, 
CUSTOMER,CUST00000322,Cust@322x,ACTIVE, 
CUSTOMER,CUST00000323,Cust@323x,ACTIVE, 
CUSTOMER,CUST00000324,Cust@324x,ACTIVE, 
CUSTOMER,CUST00000325,Cust@325x,ACTIVE, 
CUSTOMER,CUST00000326,Cust@326x,ACTIVE, 
CUSTOMER,CUST00000327,Cust@327x,ACTIVE, 
CUSTOMER,CUST00000328,Cust@328x,ACTIVE, 
CUSTOMER,CUST00000329,Cust@329x,CLOSED, 
CUSTOMER,CUST00000330,Cust@330x,DORMANT, 
CUSTOMER,CUST00000331,Cust@331x,ACTIVE, 
CUSTOMER,CUST00000332,Cust@332x,ACTIVE, 
CUSTOMER,CUST00000333,Cust@333x,ACTIVE, 
CUSTOMER,CUST00000334,Cust@334x,ACTIVE, 
CUSTOMER,CUST00000335,Cust@335x,ACTIVE, 
CUSTOMER,CUST00000336,Cust@336x,ACTIVE, 
CUSTOMER,CUST00000337,Cust@337x,ACTIVE, 
CUSTOMER,CUST00000338,Cust@338x,DORMANT, 
CUSTOMER,CUST00000339,Cust@339x,DORMANT, 
CUSTOMER,CUST00000340,Cust@340x,ACTIVE, 
CUSTOMER,CUST00000341,Cust@341x,DORMANT, 
CUSTOMER,CUST00000342,Cust@342x,ACTIVE, 
CUSTOMER,CUST00000343,Cust@343x,ACTIVE, 
CUSTOMER,CUST00000344,Cust@344x,ACTIVE, 
CUSTOMER,CUST00000345,Cust@345x,BLOCKED, 
CUSTOMER,CUST00000346,Cust@346x,ACTIVE, 
CUSTOMER,CUST00000347,Cust@347x,ACTIVE, 
CUSTOMER,CUST00000348,Cust@348x,ACTIVE, 
CUSTOMER,CUST00000349,Cust@349x,ACTIVE, 
CUSTOMER,CUST00000350,Cust@350x,ACTIVE, 
CUSTOMER,CUST00000351,Cust@351x,ACTIVE, 
CUSTOMER,CUST00000352,Cust@352x,ACTIVE, 
CUSTOMER,CUST00000353,Cust@353x,ACTIVE, 
CUSTOMER,CUST00000354,Cust@354x,ACTIVE, 
CUSTOMER,CUST00000355,Cust@355x,ACTIVE, 
CUSTOMER,CUST00000356,Cust@356x,ACTIVE, 
CUSTOMER,CUST00000357,Cust@357x,ACTIVE, 
CUSTOMER,CUST00000358,Cust@358x,DORMANT, 
CUSTOMER,CUST00000359,Cust@359x,ACTIVE, 
CUSTOMER,CUST00000360,Cust@360x,ACTIVE, 
CUSTOMER,CUST00000361,Cust@361x,ACTIVE, 
CUSTOMER,CUST00000362,Cust@362x,ACTIVE, 
CUSTOMER,CUST00000363,Cust@363x,ACTIVE, 
CUSTOMER,CUST00000364,Cust@364x,BLOCKED, 
CUSTOMER,CUST00000365,Cust@365x,ACTIVE, 
CUSTOMER,CUST00000366,Cust@366x,ACTIVE, 
CUSTOMER,CUST00000367,Cust@367x,ACTIVE, 
CUSTOMER,CUST00000368,Cust@368x,ACTIVE, 
CUSTOMER,CUST00000369,Cust@369x,ACTIVE, 
CUSTOMER,CUST00000370,Cust@370x,ACTIVE, 
CUSTOMER,CUST00000371,Cust@371x,ACTIVE, 
CUSTOMER,CUST00000372,Cust@372x,ACTIVE, 
CUSTOMER,CUST00000373,Cust@373x,BLOCKED, 
CUSTOMER,CUST00000374,Cust@374x,ACTIVE, 
CUSTOMER,CUST00000375,Cust@375x,ACTIVE, 
CUSTOMER,CUST00000376,Cust@376x,ACTIVE, 
CUSTOMER,CUST00000377,Cust@377x,ACTIVE, 
CUSTOMER,CUST00000378,Cust@378x,BLOCKED, 
CUSTOMER,CUST00000379,Cust@379x,ACTIVE, 
CUSTOMER,CUST00000380,Cust@380x,ACTIVE, 
CUSTOMER,CUST00000381,Cust@381x,BLOCKED, 
CUSTOMER,CUST00000382,Cust@382x,ACTIVE, 
CUSTOMER,CUST00000383,Cust@383x,ACTIVE, 
CUSTOMER,CUST00000384,Cust@384x,ACTIVE, 
CUSTOMER,CUST00000385,Cust@385x,ACTIVE, 
CUSTOMER,CUST00000386,Cust@386x,ACTIVE, 
CUSTOMER,CUST00000387,Cust@387x,ACTIVE, 
CUSTOMER,CUST00000388,Cust@388x,ACTIVE, 
CUSTOMER,CUST00000389,Cust@389x,ACTIVE, 
CUSTOMER,CUST00000390,Cust@390x,ACTIVE, 
CUSTOMER,CUST00000391,Cust@391x,ACTIVE, 
CUSTOMER,CUST00000392,Cust@392x,ACTIVE, 
CUSTOMER,CUST00000393,Cust@393x,ACTIVE, 
CUSTOMER,CUST00000394,Cust@394x,ACTIVE, 
CUSTOMER,CUST00000395,Cust@395x,ACTIVE, 
CUSTOMER,CUST00000396,Cust@396x,ACTIVE, 
CUSTOMER,CUST00000397,Cust@397x,ACTIVE, 
CUSTOMER,CUST00000398,Cust@398x,ACTIVE, 
CUSTOMER,CUST00000399,Cust@399x,ACTIVE, 
CUSTOMER,CUST00000400,Cust@400x,ACTIVE, 
CUSTOMER,CUST00000401,Cust@401x,ACTIVE, 
CUSTOMER,CUST00000402,Cust@402x,ACTIVE, 
CUSTOMER,CUST00000403,Cust@403x,ACTIVE, 
CUSTOMER,CUST00000404,Cust@404x,ACTIVE, 
CUSTOMER,CUST00000405,Cust@405x,ACTIVE, 
CUSTOMER,CUST00000406,Cust@406x,ACTIVE, 
CUSTOMER,CUST00000407,Cust@407x,ACTIVE, 
CUSTOMER,CUST00000408,Cust@408x,ACTIVE, 
CUSTOMER,CUST00000409,Cust@409x,ACTIVE, 
CUSTOMER,CUST00000410,Cust@410x,ACTIVE, 
CUSTOMER,CUST00000411,Cust@411x,ACTIVE, 
CUSTOMER,CUST00000412,Cust@412x,DORMANT, 
CUSTOMER,CUST00000413,Cust@413x,ACTIVE, 
CUSTOMER,CUST00000414,Cust@414x,ACTIVE, 
CUSTOMER,CUST00000415,Cust@415x,BLOCKED, 
CUSTOMER,CUST00000416,Cust@416x,ACTIVE, 
CUSTOMER,CUST00000417,Cust@417x,ACTIVE, 
CUSTOMER,CUST00000418,Cust@418x,ACTIVE, 
CUSTOMER,CUST00000419,Cust@419x,ACTIVE, 
CUSTOMER,CUST00000420,Cust@420x,ACTIVE, 
CUSTOMER,CUST00000421,Cust@421x,DORMANT, 
CUSTOMER,CUST00000422,Cust@422x,ACTIVE, 
CUSTOMER,CUST00000423,Cust@423x,ACTIVE, 
CUSTOMER,CUST00000424,Cust@424x,ACTIVE, 
CUSTOMER,CUST00000425,Cust@425x,CLOSED, 
CUSTOMER,CUST00000426,Cust@426x,ACTIVE, 
CUSTOMER,CUST00000427,Cust@427x,ACTIVE, 
CUSTOMER,CUST00000428,Cust@428x,ACTIVE, 
CUSTOMER,CUST00000429,Cust@429x,ACTIVE, 
CUSTOMER,CUST00000430,Cust@430x,ACTIVE, 
CUSTOMER,CUST00000431,Cust@431x,ACTIVE, 
CUSTOMER,CUST00000432,Cust@432x,DORMANT, 
CUSTOMER,CUST00000433,Cust@433x,ACTIVE, 
CUSTOMER,CUST00000434,Cust@434x,ACTIVE, 
CUSTOMER,CUST00000435,Cust@435x,DORMANT, 
CUSTOMER,CUST00000436,Cust@436x,ACTIVE, 
CUSTOMER,CUST00000437,Cust@437x,ACTIVE, 
CUSTOMER,CUST00000438,Cust@438x,ACTIVE, 
CUSTOMER,CUST00000439,Cust@439x,BLOCKED, 
CUSTOMER,CUST00000440,Cust@440x,ACTIVE, 
CUSTOMER,CUST00000441,Cust@441x,ACTIVE, 
CUSTOMER,CUST00000442,Cust@442x,ACTIVE, 
CUSTOMER,CUST00000443,Cust@443x,ACTIVE, 
CUSTOMER,CUST00000444,Cust@444x,ACTIVE, 
CUSTOMER,CUST00000445,Cust@445x,ACTIVE, 
CUSTOMER,CUST00000446,Cust@446x,ACTIVE, 
CUSTOMER,CUST00000447,Cust@447x,DORMANT, 
CUSTOMER,CUST00000448,Cust@448x,ACTIVE, 
CUSTOMER,CUST00000449,Cust@449x,ACTIVE, 
