card_id,account_id,card_number,card_type,network,issue_date,expiry_date,credit_limit,card_status,card_holder_name,cvv,pin_generation_status,contactless_enabled,international_usage_enabled,created_at,updated_at,source_system
CD00000063,ACC00000064,9901312914018853,Debit,RuPay,2024-08-24,2029-08-23,0.0,Active,SAKSHAM KAKAR,170,Generated,Yes,No,2026-08-03 11:20:11.641641,,Enterprise System
CD00000064,ACC00000065,3153583839670836,Credit,Visa,2026-07-31,2031-07-30,500000.0,Active,HARINAKSHI TIWARI,350,Generated,Yes,No,2026-08-03 11:20:11.641641,,Enterprise System
CD00000065,ACC00000066,4167498241045972,Debit,Visa,2017-08-10,2022-08-09,0.0,Active,HARINI DUTTA,301,Pending,Yes,No,2026-08-03 11:20:11.642641,,Enterprise System
CD00000066,ACC00000067,3128398518101924,Debit,RuPay,2023-03-20,2028-03-18,0.0,Active,VYANJANA SOM,669,Generated,Yes,No,2026-08-03 11:20:11.643174,,Enterprise System
CD00000067,ACC00000068,0372064385372845,Debit,RuPay,2020-03-29,2025-03-28,0.0,Active,FARAS OOMMEN,150,Generated,Yes,No,2026-08-03 11:20:11.643174,,Enterprise System
CD00000068,ACC00000069,9261723931164245,Debit,Mastercard,2024-12-03,2029-12-02,0.0,Active,SIDDHARTH MURTY,411,Generated,Yes,No,2026-08-03 11:20:11.643174,,Enterprise System
CD00000069,ACC00000070,0221137386737677,Credit,RuPay,2016-11-24,2021-11-23,100000.0,Stolen,YOSHITA DUBE,207,Generated,Yes,No,2026-08-03 11:20:11.644202,,Enterprise System
CD00000070,ACC00000070,2912703444011608,Prepaid,Mastercard,2017-02-23,2022-02-22,25000.0,Stolen,YOSHITA DUBE,196,Pending,Yes,No,2026-08-03 11:20:11.644202,,Enterprise System
CD00000071,ACC00000072,0234136398891791,Credit,RuPay,2022-06-17,2027-06-16,500000.0,Active,UTKARSH GHOSH,121,Generated,Yes,No,2026-08-03 11:20:11.645179,,Enterprise System
CD00000072,ACC00000072,4711709733490236,Debit,RuPay,2026-05-23,2031-05-22,0.0,Active,UTKARSH GHOSH,663,Pending,Yes,No,2026-08-03 11:20:11.645179,,Enterprise System
CD00000073,ACC00000074,4610943744618576,Credit,Mastercard,2021-09-10,2026-09-09,1000000.0,Closed,MITESH PATLA,307,Generated,Yes,No,2026-08-03 11:20:11.646203,,Enterprise System
CD00000074,ACC00000074,1944168856340750,Debit,Visa,2021-01-26,2026-01-25,0.0,Active,MITESH PATLA,265,Generated,Yes,Yes,2026-08-03 11:20:11.646203,,Enterprise System
CD00000075,ACC00000075,5542590249628512,Debit,Visa,2026-04-09,2031-04-08,0.0,Active,BACHITTAR MINHAS,470,Generated,No,Yes,2026-08-03 11:20:11.646203,,Enterprise System
CD00000076,ACC00000075,0236439840230772,Debit,Mastercard,2025-12-02,2030-12-01,0.0,Active,BACHITTAR MINHAS,265,Generated,Yes,No,2026-08-03 11:20:11.647202,,Enterprise System
CD00000077,ACC00000077,8039788714106443,Debit,Mastercard,2019-12-26,2024-12-24,0.0,Active,PAVANI BALA,430,Generated,Yes,No,2026-08-03 11:20:11.647202,,Enterprise System
CD00000078,ACC00000078,5090976808523249,Debit,Mastercard,2023-07-12,2028-07-10,0.0,Active,FALAK KARA,110,Generated,Yes,Yes,2026-08-03 11:20:11.648201,,Enterprise System
CD00000079,ACC00000078,3766299239538829,Debit,American Express,2026-04-16,2031-04-15,0.0,Active,FALAK KARA,888,Generated,Yes,No,2026-08-03 11:20:11.648201,,Enterprise System
CD00000080,ACC00000080,5911345251130856,Debit,RuPay,2019-04-25,2024-04-23,0.0,Active,YACHANA MAJUMDAR,954,Generated,Yes,No,2026-08-03 11:20:11.649201,,Enterprise System
CD00000081,ACC00000080,9826229394360996,Debit,Mastercard,2013-07-15,2018-07-14,0.0,Active,YACHANA MAJUMDAR,419,Generated,Yes,No,2026-08-03 11:20:11.649201,,Enterprise System
CD00000082,ACC00000081,8249449040235506,Credit,Mastercard,2022-07-03,2027-07-02,500000.0,Active,YATIN MALL,548,Generated,Yes,Yes,2026-08-03 11:20:11.649201,,Enterprise System
CD00000083,ACC00000082,1760017498613355,Debit,RuPay,2020-06-24,2025-06-23,0.0,Active,HRITIK KAUR,995,Generated,Yes,No,2026-08-03 11:20:11.650201,,Enterprise System
CD00000084,ACC00000082,5325398768995644,Credit,RuPay,2026-07-26,2031-07-25,200000.0,Active,HRITIK KAUR,420,Generated,Yes,No,2026-08-03 11:20:11.650201,,Enterprise System
CD00000085,ACC00000084,6299507960666835,Debit,Visa,2012-11-14,2017-11-13,0.0,Active,JAGRATI VALA,936,Generated,Yes,No,2026-08-03 11:20:11.651205,,Enterprise System
CD00000086,ACC00000084,0053021429561686,Credit,Mastercard,2016-05-27,2021-05-26,100000.0,Expired,JAGRATI VALA,748,Generated,Yes,No,2026-08-03 11:20:11.651205,,Enterprise System
CD00000087,ACC00000085,7349482192267906,Prepaid,RuPay,2015-12-15,2020-12-13,50000.0,Active,ARJUN SWAMY,945,Generated,Yes,No,2026-08-03 11:20:11.651205,,Enterprise System
CD00000088,ACC00000086,1225149345565019,Prepaid,Mastercard,2026-01-13,2031-01-12,50000.0,Active,UCCHAL SUNDER,240,Generated,Yes,No,2026-08-03 11:20:11.651205,,Enterprise System
CD00000089,ACC00000086,6465398175108783,Debit,Visa,2026-02-14,2031-02-13,0.0,Active,UCCHAL SUNDER,256,Generated,Yes,No,2026-08-03 11:20:11.652733,,Enterprise System
CD00000090,ACC00000087,7866520380724536,Prepaid,RuPay,2022-07-10,2027-07-09,10000.0,Active,QUSHI CHOUDHURY,379,Generated,Yes,No,2026-08-03 11:20:11.652733,,Enterprise System
CD00000091,ACC00000089,0619964249141958,Credit,Visa,2024-02-08,2029-02-06,200000.0,Active,NICHOLAS RAO,710,Generated,Yes,No,2026-08-03 11:20:11.653765,,Enterprise System
CD00000092,ACC00000090,7220882927267230,Debit,RuPay,2021-10-30,2026-10-29,0.0,Active,CHAITALY SHETH,970,Generated,Yes,No,2026-08-03 11:20:11.653765,,Enterprise System
CD00000093,ACC00000091,2541889644083381,Debit,American Express,2023-04-22,2028-04-20,0.0,Active,TEERTH SONI,824,Generated,Yes,No,2026-08-03 11:20:11.654764,,Enterprise System
CD00000094,ACC00000091,6763565043919048,Debit,Visa,2022-11-13,2027-11-12,0.0,Active,TEERTH SONI,935,Generated,Yes,No,2026-08-03 11:20:11.654764,,Enterprise System
CD00000095,ACC00000092,1515034881895940,Debit,Visa,2018-09-03,2023-09-02,0.0,Active,GAURAV CHOUDHRY,734,Generated,Yes,No,2026-08-03 11:20:11.654764,,Enterprise System
CD00000096,ACC00000093,4007039924037096,Credit,RuPay,2017-07-01,2022-06-30,50000.0,Active,KAI MAHARAJ,203,Generated,Yes,No,2026-08-03 11:20:11.655765,,Enterprise System
CD00000097,ACC00000094,2029159564523676,Credit,American Express,2012-08-29,2017-08-28,500000.0,Active,RIYA KAKAR,286,Generated,Yes,No,2026-08-03 11:20:11.655765,,Enterprise System
CD00000098,ACC00000094,0164271922210522,Debit,RuPay,2011-08-28,2016-08-26,0.0,Active,RIYA KAKAR,656,Generated,Yes,No,2026-08-03 11:20:11.656763,,Enterprise System
CD00000099,ACC00000095,6988793593091113,Prepaid,Visa,2023-03-20,2028-03-18,50000.0,Active,ABHIRAM SWAMY,267,Generated,Yes,No,2026-08-03 11:20:11.656763,,Enterprise System
CD00000100,ACC00000096,6257763559789687,Prepaid,Visa,2026-06-29,2031-06-28,50000.0,Active,PRANIT TRIPATHI,426,Generated,Yes,No,2026-08-03 11:20:11.657763,,Enterprise System
CD00000101,ACC00000096,3940159388366362,Debit,Visa,2026-02-22,2031-02-21,0.0,Closed,PRANIT TRIPATHI,271,Generated,Yes,No,2026-08-03 11:20:11.657763,,Enterprise System
CD00000102,ACC00000097,6714726884256708,Debit,Visa,2025-01-06,2030-01-05,0.0,Active,VEDIKA RATTI,576,Generated,Yes,Yes,2026-08-03 11:20:11.657763,,Enterprise System
CD00000103,ACC00000099,8776386585399692,Debit,RuPay,2026-07-02,2031-07-01,0.0,Active,KRISHNA GANESH,224,Generated,Yes,Yes,2026-08-03 11:20:11.658763,,Enterprise System
CD00000104,ACC00000099,2932743935865373,Debit,Mastercard,2026-06-28,2031-06-27,0.0,Expired,KRISHNA GANESH,690,Generated,Yes,Yes,2026-08-03 11:20:11.658763,,Enterprise System
CD00000105,ACC00000100,4044177399986731,Debit,American Express,2021-06-10,2026-06-09,0.0,Active,CHATURA MODI,360,Generated,Yes,No,2026-08-03 11:20:11.659763,,Enterprise System
CD00000106,ACC00000100,3643088677177012,Debit,RuPay,2025-07-13,2030-07-12,0.0,Active,CHATURA MODI,524,Generated,Yes,No,2026-08-03 11:20:11.659763,,Enterprise System
CD00000107,ACC00000101,5759776090425660,Debit,RuPay,2026-06-15,2031-06-14,0.0,Active,MITESH MANDAL,791,Generated,Yes,No,2026-08-03 11:20:11.660763,,Enterprise System
CD00000108,ACC00000102,8965365235268226,Debit,RuPay,2024-03-01,2029-02-28,0.0,Active,ZAYYAN BARAD,574,Pending,Yes,No,2026-08-03 11:20:11.660763,,Enterprise System
CD00000109,ACC00000103,4194974829250677,Debit,Mastercard,2019-11-30,2024-11-28,0.0,Active,JALSA MUKHERJEE,279,Generated,Yes,No,2026-08-03 11:20:11.660763,,Enterprise System
CD00000110,ACC00000104,8518682704598524,Debit,Mastercard,2018-05-09,2023-05-08,0.0,Active,NETRA BHAKTA,318,Generated,Yes,No,2026-08-03 11:20:11.661741,,Enterprise System
CD00000111,ACC00000105,0793528627441684,Debit,Visa,2012-01-11,2017-01-09,0.0,Active,NOAH SARMA,612,Generated,Yes,Yes,2026-08-03 11:20:11.661741,,Enterprise System
CD00000112,ACC00000105,0209126627536201,Debit,Mastercard,2012-06-02,2017-06-01,0.0,Stolen,NOAH SARMA,345,Generated,Yes,No,2026-08-03 11:20:11.662829,,Enterprise System
CD00000113,ACC00000106,0228111694022080,Debit,Mastercard,2025-03-16,2030-03-15,0.0,Active,FALAN PERI,959,Generated,Yes,No,2026-08-03 11:20:11.662829,,Enterprise System
CD00000114,ACC00000107,0333025467012604,Debit,Visa,2026-03-21,2031-03-20,0.0,Active,SHRAVYA SWAMINATHAN,915,Generated,No,No,2026-08-03 11:20:11.663437,,Enterprise System
CD00000115,ACC00000109,4177770383386393,Debit,Visa,2008-07-15,2013-07-14,0.0,Active,EKAPAD BOSE,843,Generated,Yes,Yes,2026-08-03 11:20:11.663437,,Enterprise System
CD00000116,ACC00000109,0060383684147933,Debit,Visa,2011-06-22,2016-06-20,0.0,Active,EKAPAD BOSE,441,Generated,Yes,No,2026-08-03 11:20:11.664536,,Enterprise System
CD00000117,ACC00000110,2569505435419732,Debit,Mastercard,2023-08-17,2028-08-15,0.0,Active,EKAPAD SOM,874,Generated,Yes,No,2026-08-03 11:20:11.664536,,Enterprise System
CD00000118,ACC00000110,2042358291156027,Credit,Mastercard,2012-06-03,2017-06-02,500000.0,Active,EKAPAD SOM,601,Generated,Yes,No,2026-08-03 11:20:11.664536,,Enterprise System
CD00000119,ACC00000111,8755692537748857,Debit,RuPay,2022-01-09,2027-01-08,0.0,Active,KEYA GODA,498,Generated,Yes,Yes,2026-08-03 11:20:11.665537,,Enterprise System
CD00000120,ACC00000112,7904611468631266,Debit,Mastercard,2015-07-11,2020-07-09,0.0,Active,EKBAL RANGANATHAN,343,Generated,Yes,No,2026-08-03 11:20:11.665537,,Enterprise System
CD00000121,ACC00000113,0212359218656651,Prepaid,Visa,2025-12-12,2030-12-11,25000.0,Active,MANTHAN DIN,685,Generated,Yes,No,2026-08-03 11:20:11.666528,,Enterprise System
CD00000122,ACC00000114,4692520390888792,Debit,RuPay,2015-07-21,2020-07-19,0.0,Active,CHASMUM KIBE,701,Generated,No,Yes,2026-08-03 11:20:11.666528,,Enterprise System
CD00000123,ACC00000114,6316517888723436,Debit,Visa,2015-01-13,2020-01-12,0.0,Active,CHASMUM KIBE,985,Generated,Yes,No,2026-08-03 11:20:11.667528,,Enterprise System
CD00000124,ACC00000115,4550031114745831,Debit,Mastercard,2025-05-19,2030-05-18,0.0,Closed,ZAID GANESAN,803,Generated,Yes,No,2026-08-03 11:20:11.667528,,Enterprise System
CD00000125,ACC00000118,1380546735396151,Debit,Visa,2025-05-03,2030-05-02,0.0,Active,SARTHAK KARI,912,Generated,Yes,No,2026-08-03 11:20:11.667528,,Enterprise System
CD00000126,ACC00000120,5012859399942448,Debit,Visa,2025-06-21,2030-06-20,0.0,Active,DEVIKA CHANA,196,Generated,Yes,No,2026-08-03 11:20:11.668537,,Enterprise System
CD00000127,ACC00000121,0040200996825271,Debit,Mastercard,2010-01-24,2015-01-23,0.0,Active,VRITTI DHAWAN,257,Generated,Yes,Yes,2026-08-03 11:20:11.668537,,Enterprise System
CD00000128,ACC00000121,9769669993314636,Credit,RuPay,2011-12-05,2016-12-03,1000000.0,Active,VRITTI DHAWAN,334,Generated,Yes,No,2026-08-03 11:20:11.669533,,Enterprise System
CD00000129,ACC00000122,7058233504757151,Debit,Visa,2024-11-15,2029-11-14,0.0,Closed,NISHA BORDE,598,Generated,Yes,No,2026-08-03 11:20:11.669533,,Enterprise System
CD00000130,ACC00000123,8734523293628023,Debit,Visa,2026-06-11,2031-06-10,0.0,Active,JOSHUA TATA,209,Generated,Yes,No,2026-08-03 11:20:11.670534,,Enterprise System
CD00000131,ACC00000124,3069825724845201,Debit,RuPay,2020-05-19,2025-05-18,0.0,Active,JACK LAL,560,Generated,Yes,No,2026-08-03 11:20:11.670534,,Enterprise System
CD00000132,ACC00000126,6384411491233828,Debit,RuPay,2026-07-10,2031-07-09,0.0,Active,EDHITHA BATH,104,Generated,Yes,No,2026-08-03 11:20:11.670534,,Enterprise System
CD00000133,ACC00000129,9681699623849366,Prepaid,Visa,2021-10-30,2026-10-29,25000.0,Active,CHATURA ARYA,416,Generated,Yes,No,2026-08-03 11:20:11.671531,,Enterprise System
CD00000134,ACC00000129,6196547962856241,Credit,Mastercard,2017-11-19,2022-11-18,100000.0,Active,CHATURA ARYA,464,Generated,No,No,2026-08-03 11:20:11.671531,,Enterprise System
CD00000135,ACC00000131,8951113142153407,Debit,RuPay,2018-09-06,2023-09-05,0.0,Active,OMYA WASON,226,Pending,Yes,No,2026-08-03 11:20:11.672534,,Enterprise System
CD00000136,ACC00000132,6038551423722326,Debit,RuPay,2018-04-12,2023-04-11,0.0,Active,VEER CHAUDHRY,823,Generated,Yes,No,2026-08-03 11:20:11.673125,,Enterprise System
CD00000137,ACC00000132,4745382047224854,Debit,Visa,2024-01-24,2029-01-22,0.0,Active,VEER CHAUDHRY,621,Generated,Yes,Yes,2026-08-03 11:20:11.673125,,Enterprise System
CD00000138,ACC00000133,9296252353525173,Debit,Mastercard,2026-03-24,2031-03-23,0.0,Expired,MEGHA SANGHA,468,Generated,No,No,2026-08-03 11:20:11.673125,,Enterprise System
CD00000139,ACC00000133,2020618483658831,Debit,Mastercard,2024-08-24,2029-08-23,0.0,Active,MEGHA SANGHA,440,Generated,Yes,No,2026-08-03 11:20:11.674216,,Enterprise System
CD00000140,ACC00000134,0238101132410497,Debit,Mastercard,2021-04-03,2026-04-02,0.0,Expired,NIHARIKA OOMMEN,484,Generated,Yes,Yes,2026-08-03 11:20:11.674216,,Enterprise System
CD00000141,ACC00000135,0834754458568711,Debit,RuPay,2026-04-14,2031-04-13,0.0,Active,SAI VASA,336,Generated,No,No,2026-08-03 11:20:11.675216,,Enterprise System
